YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
2018-2019,David Nwaba,CLE,26,51,14,37,19.3,71.4,28.6,61.1,0.6,21.6,20.7,17.4,17.1,60.5,49,51,100,0,58.7,41.3
2018-2019,Davis Bertans,SAS,26,76,44,32,21.5,25.4,74.6,19.5,6.9,71.8,13.9,8.7,11.6,12.5,83.1,16.9,98.6,1.4,94.1,5.9
2018-2019,Davon Reed,IND,23,10,4,6,4.7,66.7,33.3,50,0,50,41.7,0,16.7,50,33.3,66.7,100,0,60,40
2018-2019,De'Aaron Fox,SAC,21,81,39,42,31.4,78.9,21.1,59.9,11.6,18.4,24.9,21.7,23.2,48.3,17.2,82.8,52.3,47.7,23.2,76.8
2018-2019,De'Anthony Melton,PHX,21,50,13,37,19.7,62.9,37.1,56.8,5.6,34.8,18.8,8.4,18.8,51.2,33.8,66.2,100,0,53,47
2018-2019,DeAndre Jordan,NYK,30,69,25,44,29.7,100,0,75.5,0.3,0,8,24.5,11.9,75.2,71.3,28.7,0,0,71.3,28.7
2018-2019,DeAndre' Bembry,ATL,24,82,29,53,23.6,71.9,28.1,65.5,0.6,21.8,18.6,12.7,19.2,64.9,48.4,51.6,94,6,56.7,43.3
2018-2019,DeMar DeRozan,SAS,29,77,44,33,34.9,96.6,3.4,76.3,27.4,1.3,6.8,22.4,11.7,48.9,27.6,72.4,100,0,28.4,71.6
2018-2019,DeMarcus Cousins,GSW,28,30,23,7,25.7,74.4,25.6,62.3,4.1,16,11.9,21.7,14.1,58.2,56.6,43.4,100,0,62.9,37.1
2018-2019,DeMarre Carroll,BKN,32,67,36,31,25.4,46.1,53.9,32.5,3.5,42.7,18,24.7,15.6,29,62,38,96.2,3.8,78,22
2018-2019,DeVaughn Akoon-Purcell,DEN,26,7,7,0,3.1,60,40,85.7,0,0,0,14.3,0,85.7,66.7,33.3,0,0,66.7,33.3
2018-2019,Deandre Ayton,PHX,20,71,17,54,30.7,99.5,0.5,87.8,15.7,0,5.4,12.2,13.9,72.1,71.1,28.9,0,0,71.1,28.9
2018-2019,Delon Wright,MEM,27,75,45,30,22.6,69.9,30.1,58.8,2.1,23,19.6,18.2,17.6,56.7,32.3,67.7,76,24,41.3,58.7
2018-2019,Demetrius Jackson,PHI,24,6,5,1,6.6,60,40,54.5,18.2,27.3,40.9,18.2,22.7,36.4,50,50,100,0,62.5,37.5
2018-2019,Deng Adel,CLE,22,19,4,15,10.2,36.1,63.9,31.3,12.5,56.3,0,12.5,15.6,18.8,60,40,100,0,81.8,18.2
